	TranscriptionName	modifiers	Annotation
0	Koposova_Sokolova	1	1
1	Koposova_Sokolova	0	1
2	Koposova_Sokolova	0	1
3	Koposova_Sokolova	0	1
4	Koposova_Sokolova	1	1
5	Koposova_Sokolova	1	1
6	Koposova_Sokolova	1	1
7	Koposova_Sokolova	1	1
8	Koposova_Sokolova	1	1
9	Koposova_Sokolova	1	0
10	Koposova_Sokolova	1	1
11	Koposova_Sokolova	1	0
12	Koposova_Sokolova	1	1
13	Koposova_Sokolova	0	1
14	Koposova_Sokolova	0	1
15	Koposova_Sokolova	0	1
16	Koposova_Sokolova	0	0
17	Koposova_Sokolova	0	1
18	Koposova_Sokolova	0	1
19	Koposova_Sokolova	0	1
20	Koposova_Sokolova	0	1
21	Koposova_Sokolova	1	0
22	Borisova_Subocheva	1	0
23	Borisova_Subocheva	1	1
24	Borisova_Subocheva	1	1
25	Borisova_Subocheva	1	1
26	Borisova_Subocheva	1	0
27	Borisova_Subocheva	1	1
28	Borisova_Subocheva	1	1
29	Borisova_Subocheva	1	1
30	Borisova_Subocheva	0	1
31	Borisova_Subocheva	0	0
32	Borisova_Subocheva	0	0
33	Borisova_Subocheva	0	0
34	Borisova_Subocheva	1	1
35	Borisova_Subocheva	1	1
36	Borisova_Subocheva	1	1
37	Borisova_Subocheva	1	0
38	Borisova_Subocheva	1	1
39	Borisova_Subocheva	0	1
40	Borisova_Subocheva	0	0
41	Borisova_Subocheva	0	1
42	Borisova_Subocheva	0	0
43	Borisova_Subocheva	1	1
44	Borisova_Subocheva	1	1
45	Borisova_Subocheva	1	1
47	Borisova_Subocheva	1	0
48	Borisova_Subocheva	1	1
49	Borisova_Subocheva	1	1
50	Borisova_Subocheva	1	1
51	Borisova_Subocheva	0	1
52	Borisova_Subocheva	0	0
53	Borisova_Subocheva	0	1
54	Borisova_Subocheva	0	1
55	Borisova_Subocheva	1	1
56	Borisova_Subocheva	1	1
57	Borisova_Subocheva	1	1
58	Borisova_Subocheva	0	1
59	Borisova_Subocheva	0	1
60	Borisova_Subocheva	0	1
61	Borisova_Subocheva	1	1
62	Borisova_Subocheva	1	0
63	Borisova_Subocheva	1	1
64	Borisova_Tregubova	1	0
65	Borisova_Tregubova	1	1
66	Borisova_Tregubova	1	1
67	Borisova_Tregubova	1	1
68	Borisova_Tregubova	1	1
69	Borisova_Tregubova	1	1
70	Borisova_Tregubova	0	1
71	Borisova_Tregubova	0	1
72	Borisova_Tregubova	1	1
73	Borisova_Tregubova	0	1
74	Borisova_Tregubova	0	0
75	Borisova_Tregubova	0	0
76	Borisova_Tregubova	0	0
77	Borisova_Tregubova	1	0
78	Borisova_Tregubova	1	1
79	Borisova_Tregubova	1	1
80	Borisova_Tregubova	1	1
82	Borisova_Tregubova	0	1
83	Borisova_Tregubova	0	1
84	Borisova_Tregubova	1	1
85	Borisova_Tregubova	0	1
86	Borisova_Tregubova	0	1
87	Bocharovy	1	1
88	Bocharovy	1	1
89	Bocharovy	1	1
90	Bocharovy	1	1
91	Bocharovy	1	1
92	Bocharovy	1	1
93	Bocharovy	0	1
94	Bocharovy	0	1
95	Bocharovy	1	1
96	Bocharovy	0	1
97	Bocharovy	0	1
98	Bocharovy	1	1
100	Bocharovy	0	0
101	Bocharovy	1	1
102	Bocharovy	0	1
103	Bocharovy	0	1
104	Bocharovy	1	1
105	Bocharovy	1	0
106	Bocharovy	0	0
107	Bocharovy	0	0
108	Bocharovy	0	0
109	Bocharovy	0	0
110	Bocharovy	0	0
111	Bocharovy	1	1
112	Bocharovy	0	1
113	Bocharovy	0	1
114	Bocharovy	1	1
115	Bocharovy	1	1
116	Bocharovy	1	1
117	Bocharovy	1	1
118	Bocharovy	1	1
119	Bocharovy	1	1
120	Bocharovy	1	1
121	Bocharovy	0	1
122	Bocharovy	0	1
123	Bocharovy	0	1
124	Bocharovy	0	0
125	Bocharovy	1	1
126	Bocharovy	1	1
127	Bocharovy	0	1
128	Bocharovy	0	0
129	Bocharovy	1	0
130	Bocharovy	1	0
131	Bocharovy	0	1
132	Bocharovy	0	0
133	Bocharovy	1	1
134	Bocharovy	0	1
135	Bocharovy	0	0
136	Bocharovy	1	1
137	Bocharovy	1	0
138	Bocharovy	1	1
139	Bocharovy	0	1
140	Bocharovy	0	1
141	Bocharovy	1	1
142	Bocharovy	1	0
143	Bocharovy	1	0
144	Bocharovy	0	1
145	Bocharovy	0	1
146	Bocharovy	1	1
147	Bocharovy	1	1
148	Bocharovy	1	1
149	Bocharovy	1	1
150	Bocharovy	1	1
151	Bocharovy	0	1
152	Bocharovy	0	0
153	Bocharovy	0	1
154	Bocharovy	0	0
155	Bocharovy	0	1
156	Bocharovy	0	1
157	Bocharovy	1	0
158	Bocharovy	0	1
159	Bocharovy	0	0
160	Bocharovy	1	1
163	Bocharovy	1	0
164	Bocharovy	0	1
165	Bocharovy	0	1
166	Bocharovy	1	1
167	Bocharovy	0	1
168	Bocharovy	0	1
169	Bocharovy	1	1
170	Bocharovy	1	1
171	Vorobiovy	0	0
172	Vorobiovy	0	0
173	Vorobiovy	1	0
174	Vorobiovy	1	0
175	Vorobiovy	1	1
176	Vorobiovy	1	0
177	Vorobiovy	1	0
178	Vorobiovy	1	1
179	Vorobiovy	1	1
180	Vorobiovy	1	1
181	Vorobiovy	1	0
182	Vorobiovy	1	1
183	Vorobiovy	0	1
184	Vorobiovy	0	1
185	Vorobiovy	1	1
186	Vorobiovy	1	1
187	Vorobiovy	1	0
188	Vorobiovy	1	1
189	Vorobiovy	1	1
190	Vorobiovy	1	0
191	Vorobiovy	0	1
192	Vorobiovy	0	1
193	Vorobiovy	1	1
194	Vorobiovy	0	1
195	Vorobiovy	0	1
196	Vorobiovy	1	1
197	Vorobiovy	0	1
198	Vorobiovy	0	0
199	Vorobiovy	0	1
200	Vorobiovy	0	1
201	Vorobiovy	1	1
202	Vorobiovy	1	1
203	Vorobiovy	0	1
204	Vorobiovy	0	1
205	Vorobiovy	0	0
206	Vorobiovy	0	0
208	Vorobiovy	1	1
209	Vorobiovy	0	0
210	Vorobiovy	0	0
211	Vorobiovy	0	1
212	Vorobiovy	0	1
213	Vorobiovy	1	1
214	Vorobiovy	1	1
215	Vorobiovy	0	1
216	Vorobiovy	0	1
217	Vorobiovy	1	1
218	Vorobiovy	1	1
219	Vorobiovy	1	1
220	Vorobiovy	1	1
221	Vorobiovy	1	0
222	Vorobiovy	0	0
223	Vorobiovy	0	0
224	clouds_gavrilovy	1	1
225	clouds_gavrilovy	1	0
226	clouds_gavrilovy	1	1
227	clouds_gavrilovy	1	0
228	clouds_gavrilovy	1	0
229	clouds_gavrilovy	1	1
230	clouds_gavrilovy	1	1
231	clouds_gavrilovy	1	0
232	clouds_gavrilovy	0	0
233	clouds_gavrilovy	0	0
234	clouds_gavrilovy	0	0
235	clouds_gavrilovy	1	1
236	clouds_gavrilovy	1	1
237	clouds_gavrilovy	1	0
238	clouds_gavrilovy	1	1
239	clouds_gavrilovy	1	1
240	clouds_gavrilovy	1	1
241	Zabelina_Igonina	1	0
242	Zabelina_Igonina	1	1
243	Zabelina_Igonina	1	0
244	Zabelina_Igonina	1	0
245	Zabelina_Igonina	0	0
246	Zabelina_Igonina	0	0
247	Zabelina_Igonina	1	1
248	Zabelina_Igonina	0	1
249	Zabelina_Igonina	0	1
250	Zabelina_Igonina	0	1
251	Zabelina_Igonina	0	1
252	Zabelina_Igonina	0	1
253	Zabelina_Igonina	1	1
254	Zabelina_Igonina	0	1
255	Zabelina_Igonina	0	1
256	Zabelina_Igonina	1	1
257	Zabelina_Igonina	1	0
258	Zabelina_Igonina	1	1
259	Zabelina_Igonina	0	0
260	Zabelina_Igonina	0	0
261	Zabelina_Igonina	1	1
262	Zabelina_Igonina	0	1
263	Zabelina_Igonina	0	1
264	Zabelina_Igonina	0	1
265	Zabelina_Igonina	1	0
266	Zabelina_Igonina	0	0
267	Zabelina_Igonina	0	0
268	Zabelina_Igonina	1	0
269	Zabelina_Igonina	0	1
270	Zabelina_Igonina	0	1
271	Zabelina_Igonina	1	1
272	Zabelina_Igonina	1	1
273	Zabelina_Igonina	1	0
274	Zabelina_Igonina	1	1
275	Zabelina_Igonina	1	1
276	Zabelina_Igonina	1	1
277	Zabelina_Igonina	1	1
278	Zabelina_Igonina	0	1
279	Zabelina_Igonina	0	0
280	Zabelina_Igonina	1	0
281	Zabelina_Igonina	1	1
282	Zabelina_Igonina	1	1
283	Zabelina_Igonina	0	1
284	Zabelina_Igonina	0	0
285	Zabelina_Igonina	1	0
286	Zabelina_Igonina	0	0
287	Zabelina_Igonina	0	0
288	Zabelina_Igonina	1	0
289	Zabelina_Igonina	0	0
290	Zabelina_Igonina	0	0
291	Zimina_Zorina	1	1
292	Zimina_Zorina	0	1
293	Zimina_Zorina	0	1
294	Zimina_Zorina	1	1
295	Zimina_Zorina	1	1
296	Zimina_Zorina	1	1
297	Zimina_Zorina	0	1
298	Zimina_Zorina	0	1
299	Zimina_Zorina	1	1
300	Zimina_Zorina	1	1
301	Zimina_Zorina	1	1
302	Zimina_Zorina	1	1
303	Zimina_Zorina	1	1
304	Zimina_Zorina	1	1
305	Zimina_Zorina	1	1
306	Zimina_Zorina	0	1
307	Zimina_Zorina	0	1
308	Zimina_Zorina	1	0
309	Zimina_Zorina	1	1
310	Zimina_Zorina	1	1
311	Zimina_Zorina	1	1
312	Zimina_Zorina	1	1
313	Zimina_Zorina	1	1
314	Zimina_Zorina	1	1
315	Zimina_Zorina	1	1
316	Zimina_Zorina	1	1
317	Zimina_Zorina	0	1
318	Zimina_Zorina	0	1
319	Zimina_Zorina	0	1
320	Zimina_Zorina	0	1
321	Zimina_Zorina	1	1
322	Zimina_Zorina	1	1
323	Zimina_Zorina	1	1
324	Zimina_Zorina	1	1
325	Zimina_Zorina	1	1
326	Zimina_Zorina	0	1
327	Zimina_Zorina	0	0
328	Zimina_Zorina	0	1
329	Zimina_Zorina	0	1
330	Zimina_Zorina	0	1
331	Zimina_Zorina	0	1
332	Zimina_Zorina	0	0
333	Zimina_Zorina	0	0
334	Zimina_Zorina	1	1
335	Zimina_Zorina	1	1
336	Zimina_Zorina	1	1
337	Zimina_Zorina	1	1
338	Zimina_Zorina	1	1
339	Zimina_Zorina	1	1
340	Zimina_Zorina	1	1
341	Zimina_Zorina	1	1
342	zorina_schadrina	1	1
343	zorina_schadrina	1	1
345	zorina_schadrina	0	0
346	zorina_schadrina	0	0
347	zorina_schadrina	0	0
348	zorina_schadrina	1	1
349	zorina_schadrina	1	1
350	zorina_schadrina	0	1
351	zorina_schadrina	0	1
352	zorina_schadrina	0	1
353	zorina_schadrina	0	1
354	zorina_schadrina	1	1
355	zorina_schadrina	0	1
356	zorina_schadrina	0	1
357	zorina_schadrina	1	1
358	zorina_schadrina	1	0
359	zorina_schadrina	1	0
360	zorina_schadrina	0	0
361	zorina_schadrina	0	0
362	zorina_schadrina	1	0
363	zorina_schadrina	1	1
364	zorina_schadrina	0	1
365	zorina_schadrina	0	0
366	zorina_schadrina	0	0
367	zorina_schadrina	0	0
368	zorina_schadrina	1	0
369	zorina_schadrina	1	1
370	zorina_schadrina	0	0
371	zorina_schadrina	0	0
372	zorina_schadrina	0	1
373	zorina_schadrina	0	1
374	zorina_schadrina	1	0
375	zorina_schadrina	1	0
376	zorina_schadrina	0	0
377	zorina_schadrina	0	0
378	zorina_schadrina	1	0
379	zorina_schadrina	1	0
380	zorina_schadrina	1	0
381	zorina_schadrina	0	1
382	zorina_schadrina	0	1
383	zorina_schadrina	1	1
384	zorina_schadrina	1	1
385	zorina_schadrina	0	1
386	zorina_schadrina	0	1
387	zorina_schadrina	1	1
388	zorina_schadrina	0	1
389	zorina_schadrina	0	1
390	zorina_schadrina	1	1
391	zorina_schadrina	1	1
392	zorina_schadrina	1	1
393	zorina_schadrina	1	1
394	zorina_schadrina	1	1
395	zorina_schadrina	1	1
396	zorina_schadrina	1	1
397	zorina_schadrina	1	1
398	zorina_schadrina	1	1
399	zorina_schadrina	1	1
400	zorina_schadrina	0	1
401	zorina_schadrina	0	1
402	zorina_schadrina	1	1
403	zorina_schadrina	1	0
404	zorina_schadrina	1	1
405	zorina_schadrina	0	1
406	zorina_schadrina	0	1
407	zorina_schadrina	1	1
408	zorina_schadrina	1	1
409	zorina_schadrina	1	1
410	zorina_schadrina	1	1
411	zorina_schadrina	1	1
412	zorina_schadrina	1	1
413	zorina_schadrina	1	1
414	zorina_schadrina	0	1
415	zorina_schadrina	0	1
416	zorina_schadrina	0	1
417	zorina_schadrina	0	0
418	zorina_schadrina	0	1
419	zorina_schadrina	0	1
420	zorina_schadrina	1	1
421	zorina_schadrina	0	1
422	zorina_schadrina	0	0
423	zorina_schadrina	0	1
424	zorina_schadrina	0	1
425	zorina_schadrina	0	1
426	zorina_schadrina	0	1
427	zorina_schadrina	1	1
428	zorina_schadrina	0	1
429	zorina_schadrina	0	1
430	zorina_schadrina	1	0
431	zorina_schadrina	1	0
432	zorina_schadrina	1	0
433	zorina_schadrina	1	1
434	zorina_schadrina	1	0
435	zorina_schadrina	1	1
436	zorina_schadrina	1	1
437	zorina_schadrina	1	1
438	zorina_schadrina	0	1
439	zorina_schadrina	0	0
440	zorina_schadrina	0	1
441	zorina_schadrina	0	0
442	zorina_schadrina	0	1
443	zorina_schadrina	0	0
444	zorina_schadrina	1	1
445	zorina_schadrina	1	1
446	zorina_schadrina	0	1
447	zorina_schadrina	0	0
448	zorina_schadrina	0	1
449	zorina_schadrina	0	0
450	zorina_schadrina	1	1
451	zorina_schadrina	1	0
452	zorina_schadrina	0	0
453	zorina_schadrina	0	0
454	zorina_schadrina	1	1
455	zorina_schadrina	0	0
456	zorina_schadrina	0	0
457	zorina_schadrina	0	0
458	zorina_schadrina	0	0
459	zorina_schadrina	0	1
460	zorina_schadrina	0	0
461	zorina_schadrina	1	0
462	zorina_schadrina	0	0
463	zorina_schadrina	0	0
464	zorina_schadrina	1	1
465	zorina_schadrina	1	0
466	zorina_schadrina	1	1
467	zorina_schadrina	0	1
468	zorina_schadrina	0	0
469	zorina_schadrina	0	0
470	zorina_schadrina	0	0
471	zorina_schadrina	1	1
472	zorina_schadrina	0	1
473	zorina_schadrina	0	1
474	zorina_schadrina	0	1
475	zorina_schadrina	0	0
476	zorina_schadrina	1	0
477	zorina_schadrina	1	1
478	zorina_schadrina	0	1
479	zorina_schadrina	0	0
480	zorina_schadrina	1	1
481	zorina_schadrina	0	1
482	zorina_schadrina	0	1
483	zorina_schadrina	1	1
484	zorina_schadrina	1	1
485	zorina_schadrina	1	1
486	zorina_schadrina	0	1
487	zorina_schadrina	0	0
488	zorina_schadrina	1	1
489	zorina_schadrina	1	1
490	zorina_schadrina	1	1
491	zorina_schadrina	1	1
492	zorina_schadrina	1	1
493	zorina_schadrina	1	1
494	zorina_schadrina	1	1
495	zorina_schadrina	1	1
496	zorina_schadrina	1	1
497	zorina_schadrina	1	1
498	zorina_schadrina	0	1
499	zorina_schadrina	0	0
500	zorina_schadrina	1	1
501	zorina_schadrina	1	1
502	zorina_schadrina	1	0
503	zorina_schadrina	1	1
504	zorina_schadrina	1	1
505	zorina_schadrina	0	1
506	zorina_schadrina	0	0
507	zorina_schadrina	1	1
508	zorina_schadrina	1	0
509	zorina_schadrina	0	1
510	zorina_schadrina	0	1
511	zorina_schadrina	0	1
512	zorina_schadrina	0	1
513	zorina_schadrina	1	1
514	zorina_schadrina	0	1
515	zorina_schadrina	0	0
516	Koposova_Sokolova	1	1
517	Koposova_Sokolova	0	1
518	Koposova_Sokolova	0	0
519	Koposova_Sokolova	1	1
520	Koposova_Sokolova	1	1
521	Koposova_Sokolova	1	1
522	Koposova_Sokolova	1	1
523	Koposova_Sokolova	0	1
524	Koposova_Sokolova	0	1
525	Koposova_Sokolova	0	1
526	Koposova_Sokolova	0	1
527	Koposova_Sokolova	1	1
528	Koposova_Sokolova	1	1
529	Koposova_Sokolova	1	1
530	Koposova_Sokolova	1	1
531	Koposova_Sokolova	0	1
532	Koposova_Sokolova	0	1
533	Koposova_Sokolova	1	1
534	Koposova_Sokolova	0	1
535	Koposova_Sokolova	0	1
536	Koposova_Sokolova	1	0
537	Koposova_Sokolova	1	1
538	Koposova_Sokolova	1	1
539	Koposova_Sokolova	1	1
540	Koposova_Sokolova	1	0
541	Koposova_Sokolova	1	1
542	Koposova_Sokolova	1	1
543	Koposova_Sokolova	1	1
544	Koposova_Sokolova	0	1
545	Koposova_Sokolova	0	1
546	Koposova_Sokolova	1	1
547	Koposova_Sokolova	0	1
548	Koposova_Sokolova	0	1
549	Koposova_Sokolova	1	0
550	Koposova_Sokolova	1	0
551	Koposova_Sokolova	1	0
552	Koposova_Sokolova	1	1
553	Koposova_Sokolova	1	0
554	Koposova_Sokolova	1	1
555	Koposova_Sokolova	1	1
556	Koposova_Sokolova	0	1
557	Koposova_Sokolova	0	1
558	Koposova_Sokolova	1	1
559	Koposova_Sokolova	0	1
560	Koposova_Sokolova	0	1
561	Koposova_Sokolova	1	1
562	Koposova_Sokolova	0	1
563	Koposova_Sokolova	0	1
564	Koposova_Sokolova	0	1
565	Koposova_Sokolova	0	1
566	Koposova_Sokolova	0	0
567	Koposova_Sokolova	0	0
568	Koposova_Sokolova	0	0
569	Koposova_Sokolova	0	0
570	Koposova_Sokolova	1	1
571	Koposova_Sokolova	0	1
572	Koposova_Sokolova	0	1
573	Koposova_Sokolova	1	1
574	Koposova_Sokolova	1	1
575	Koposova_Sokolova	1	1
576	Koposova_Sokolova	1	0
577	Koposova_Sokolova	1	1
578	Koposova_Sokolova	1	0
579	Koposova_Sokolova	1	0
580	Koposova_Sokolova	1	0
581	Prihodko_Belyaeva	0	1
582	Prihodko_Belyaeva	0	1
583	Prihodko_Belyaeva	1	0
584	Prihodko_Belyaeva	0	1
585	Prihodko_Belyaeva	0	0
586	Prihodko_Belyaeva	1	1
587	Prihodko_Belyaeva	1	0
588	Prihodko_Belyaeva	1	1
589	Prihodko_Belyaeva	1	1
590	Prihodko_Belyaeva	0	1
591	Prihodko_Belyaeva	0	1
592	Prihodko_Belyaeva	1	0
593	Prihodko_Belyaeva	0	0
594	Prihodko_Belyaeva	0	0
595	Prihodko_Belyaeva	0	0
